도서명,보유권수,작가,목표장르,기존서가
장난을 잘 치는 타카기 양,1~18권,소이치로 야마모토,로맨스/로판,22
장난을 잘 치는 전 타카기 양,1~15권,미상,로맨스/로판,22
호시가미는 정상이 아니야,1~4권,미상,일상/개그,21
소믈리에르,1~21권,미상,드라마/스포츠/SF,21
그 아이의 포로 5/,보유,미상,일상/개그,21
주문은 토끼입니까?,1~6권,미상,일상/개그,21
따끈따끈 베이커리,1~26권,미상,로맨스/로판,21
러브히나,1~7권,미상,일상/개그,21
라면요리왕,1~26권,미상,일상/개그,21
페이트,보유,미상,판타지/무협,62
엑스트라 CCC 폭스테일,1~2권,미상,판타지/무협,62
메이드 인 어비스,1~12권,아키히토 츠쿠시,판타지/무협,62
페이트 할로우 아타락시아,1~2권,미상,판타지/무협,62
메르,1~15권,미상,판타지/무협,62
페이트/그랜드 오더 코믹 아라카르트,1~2권,미상,판타지/무협,62
심연의 카발리어,1~17권,미상,판타지/무협,62
온리 센스 온라인,1~3권,미상,판타지/무협,62
페이트 스테이 나이트,1~20권,미상,로맨스/로판,62
이 멋진 세계에 폭염을!,1~3권,미상,판타지/무협,62
신만이 아는 세계,1~26권,미상,일상/개그,62
이세계 삼촌,1~13권,미상,로맨스/로판,62
이 세계가 게임이란 사실은 나만이 알고 있다,1~3권,미상,판타지/무협,62
블랙패러독스,보유,미상,스릴러/추리/호러,62
페이트 그랜드 오더 전격 코믹 앤솔로지,1~3권,미상,판타지/무협,62
사술꾼 우츠호,1~3권,미상,판타지/무협,62
페이트 스테이 나이트: 헤븐즈 필(Fate/stay night: Heaven's Feel) 3/  87 clockers 에이티세븐 클로커즈,보유,미상,판타지/무협,62
블루 자이언트 슈프림,1~10권,이시즈카 신이치,드라마/스포츠/SF,60
IS 인피니트 스트라토스.,1~8권,미상,판타지/무협,60
마탄의 왕과 바나디스,1~9권,미상,판타지/무협,60
콜레트는 죽기로 했다,1~20권,미상,판타지/무협,60
티르전기,1~11권,미상,코믹스/그래픽노블,60
위벨 블라트,1~21권,미상,판타지/무협,60
마계등록,보유,미상,판타지/무협,60
최강악역 최종보스 여왕은 국민을 위해 헌신합니다,1~2권,미상,판타지/무협,60
제트맨,1~20권,미상,스릴러/추리/호러,60
풀메탈패닉! 시그마,보유,미상,판타지/무협,60
DEAR.,1~12권,미상,판타지/무협,60
슈토헬,보유,미상,판타지/무협,60
동군/ 블러디 먼데이,1~11권,미상,판타지/무협,61
블러디먼데이 라스트시즌/ 신부 이야기,1~12권,미상,판타지/무협,61
쌍망정은 부숴야 한다,1~2권,미상,액션/모험,61
늑대와 향신료,1~14권,미상,로맨스/로판,61
하루카 세븐틴,1~18권,미상,판타지/무협,61
책벌레의 하극상,1~9권,미상,판타지/무협,61
바카노,1~3권,미상,판타지/무협,61
기공마술사,1~19권,이치카와 준,스릴러/추리/호러,61
카구라바치,1~11권,타케루 호카조노,판타지/무협,61
마법사의 신부,1~19권,미상,판타지/무협,61
테라포마스,1~20권,미상,드라마/스포츠/SF,61
히스토리에,1~12권,미상,로맨스/로판,61
클레이모어,1~27권,미상,스릴러/추리/호러,61
고블린 슬레이어,1~4권,미상,판타지/무협,61
핵폭탄 내숭덩어리,1~3권,미상,판타지/무협,62
프리징,1~14권,미상,로맨스/로판,62
혈계전선 Back2Back,1~3권,미상,판타지/무협,62
용비불패,1~15권,미상,액션/모험,62
